ZIP,TRACT,RES_RATIO,DATE,ZIP,TRACT,RES_RATIO,DATE,ZIP,TRACT,RES_RATIO,DATE
,,,,94121,6075047902.0,0.0796694889319596,2020-09-01,,,,
,,,,94122,6075030302.0,0.02112735570016057,2020-09-01,,,,
,,,,94122,6075032802.0,0.045846361869348436,2020-09-01,,,,
,,,,94122,6075030201.0,0.08108679117721626,2020-09-01,,,,
,,,,94122,6075030301.0,0.102763458125581,2020-09-01,,,,
,,,,94122,6075032700.0,0.09959435477055692,2020-09-01,,,,
,,,,94122,6075035202.0,0.07762190484238993,2020-09-01,,,,
,,,,94122,6075030101.0,0.06169187864446886,2020-09-01,,,,
,,,,94122,6075030102.0,0.026620468182202317,2020-09-01,,,,
,,,,94122,6075035300.0,0.0,2020-09-01,,,,
,,,,94122,6075032601.0,0.08932645990027888,2020-09-01,,,,
,,,,94122,6075035201.0,0.0687906701597228,2020-09-01,,,,
,,,,94122,6075030202.0,0.10420011831319193,2020-09-01,,,,
,,,,94122,6075035100.0,0.11011577790923688,2020-09-01,,,,
,,,,94122,6075980300.0,0.00557762190484239,2020-09-01,,,,
,,,,94122,6075032602.0,0.06963576438772923,2020-09-01,,,,
,,,,94122,6075032902.0,0.03600101411307361,2020-09-01,,,,
,,,,94123,6075012800.0,0.16910374385478383,2020-09-01,,,,
,,,,94123,6075013102.0,0.008319677297365435,2020-09-01,,,,
,,,,94123,6075012602.0,0.13273666960796673,2020-09-01,,,,
,,,,94123,6075012700.0,0.1451531576957015,2020-09-01,,,,
,,,,94123,6075012902.0,0.14181268120509266,2020-09-01,,,,
,,,,94123,6075060100.0,0.0010084457330139921,2020-09-01,,,,
,,,,94123,6075013200.0,0.03271145846464137,2020-09-01,,,,
,,,,94123,6075012901.0,0.0900037816714988,2020-09-01,,,,
,,,,94123,6075013101.0,0.007752426572545065,2020-09-01,,,,
,,,,94123,6075013000.0,0.16677171309718897,2020-09-01,,,,
,,,,94123,6075012601.0,0.10462624480020169,2020-09-01,,,,
,,,,94124,6075023001.0,0.1009761561849896,2020-09-01,,,,
,,,,94124,6075023300.0,0.11649863978236517,2020-09-01,,,,
,,,,94124,6075061000.0,0.06705072811649863,2020-09-01,,,,
,,,,94124,6075026402.0,0.0003200512081933109,2020-09-01,,,,
,,,,94124,6075061200.0,0.09473515762522003,2020-09-01,,,,
,,,,94124,6075023102.0,0.10713714194271083,2020-09-01,,,,
,,,,94124,6075980600.0,0.05360857737237958,2020-09-01,,,,
,,,,94124,6075023103.0,0.12153944631140982,2020-09-01,,,,
,,,,94124,6075023200.0,0.1529044647143543,2020-09-01,,,,
,,,,94124,6075010500.0,0.0,2020-09-01,,,,
,,,,94124,6075025100.0,8.001280204832773e-05,2020-09-01,,,,
,,,,94124,6075980900.0,0.006641062570011202,2020-09-01,,,,
,,,,94124,6075025702.0,0.0007201152184349496,2020-09-01,,,,
,,,,94124,6075023003.0,0.09249479916786686,2020-09-01,,,,
,,,,94124,6075023400.0,0.08529364698351737,2020-09-01,,,,
,,,,94127,6075030800.0,0.21439317953861584,2020-09-01,,,,
,,,,94127,6075030500.0,0.013916750250752256,2020-09-01,,,,
,,,,94127,6075030700.0,0.29413239719157475,2020-09-01,,,,
,,,,94127,6075031100.0,0.08124373119358075,2020-09-01,,,,
,,,,94127,6075030600.0,0.10656970912738215,2020-09-01,,,,
,,,,94127,6075031000.0,0.056293881644934804,2020-09-01,,,,
,,,,94127,6075030900.0,0.23207121364092276,2020-09-01,,,,
